text,severity,category,source
"PostgreSQL Primary Failure The PostgreSQL primary database experienced an ECONNREFUSED error on port 5432, causing a complete outage and halting all payment processing. This affected 50 million daily transactions, resulting in a $10k/minute revenue impact. A misconfiguration in HashiCorp Vault led to incorrect environment variables being injected into the PostgreSQL deployment, causing the connection to fail.",P1,database,synthetic_master
"Redis Cache Cluster Exhausted Connections All payment processing was halted due to the Redis cache cluster reaching its max_connections limit, causing too many connections. This impacted 50 million daily transactions. The Redis cache cluster had a max_connections limit set to 200, which was insufficient for the load, leading to a connection exhaustion issue.",P1,database,synthetic_master
"Elasticsearch Cluster Deadlock on Transactions Table A deadlock was detected on the transactions table in the Elasticsearch cluster, halting all payment processing for 60 minutes and resulting in a revenue loss of $10k per minute. A race condition between multiple concurrent transactions in the Elasticsearch cluster led to a deadlock on the transactions table.",P1,database,synthetic_master
"PostgreSQL Primary Database Crash The PostgreSQL primary database experienced a complete outage due to a WAL disk full error on /dev/xvda1, halting all payment processing. This affected 50 million daily transactions and resulted in a $10k/minute revenue impact. Insufficient disk space for Write-Ahead Logging (WAL) files, leading to a full disk on the primary PostgreSQL instance.",P1,database,synthetic_master
"Redis Cache Cluster Failure The Redis cache cluster in FinTechFlow's production environment experienced a replication lag of 45 seconds on the read replica, leading to a complete outage of payment processing and a $10k/minute revenue impact. Insufficient replication lag monitoring and failover mechanisms in the Kubernetes cluster on AWS EKS.",P1,database,synthetic_master
"Elasticsearch Cluster Failure The Elasticsearch cluster in FinTechFlow's production environment experienced an outage, resulting in ECONNREFUSED errors on port 5432. This impacted all payment processing transactions, halting revenue generation at a rate of $10k per minute. A misconfigured Kubernetes service definition led to the Elasticsearch pods being unable to communicate with the PostgreSQL database, resulting in ECONNREFUSED errors.",P1,database,synthetic_master
"PostgreSQL Primary Connection Limit Exceeded On 2023-10-15, FinTechFlow experienced a complete outage due to too many connections hitting the max_connections limit of 200 on the PostgreSQL primary database, halting all payment processing and resulting in significant revenue loss. The max_connections limit of 200 was insufficient to handle the sudden surge in transaction volume, leading to connection exhaustion and a complete outage.",P1,database,synthetic_master
"Redis Cache Cluster Deadlock A deadlock was detected on the transactions table in the Redis cache cluster, causing a complete outage in payment processing. All 50 million daily transactions were halted, resulting in a revenue loss of $10k per minute. A complex transactional process in the Java Spring Boot microservices failed to release locks on the transactions table, leading to a deadlock.",P1,database,synthetic_master
"Elasticsearch Cluster Down Due to WAL Disk Full The Elasticsearch cluster experienced a complete outage due to a WAL disk full error on /dev/xvda1, halting all payment transactions and resulting in a revenue impact of $10k per minute. Insufficient disk space on the Elasticsearch node’s root volume, causing the Write-Ahead Log (WAL) to fill up.",P1,database,synthetic_master
"PostgreSQL Primary Outage PostgreSQL primary database failure caused a complete outage, halting all payment processing. Replication lag on the read replica was 45 seconds. Primary database crashed due to unexpected memory pressure and failed to failover to the read replica in time.",P1,database,synthetic_master
