number,incident_state,category,subcategory,symptom,impact_clean,urgency_clean,priority_clean,contact_type,reassignment_count,reopen_count,made_sla,mttr_minutes,assignment_group
INC0000045,Closed,Category 55,Subcategory 170,Symptom 72,Medium,Medium,P3,Phone,0,0,True,613.0,Group 56
INC0000047,Closed,Category 40,Subcategory 215,Symptom 471,Medium,Medium,P3,Phone,1,0,True,1752.0,Group 24
INC0000057,Closed,Category 20,Subcategory 125,Symptom 471,Medium,Medium,P3,Phone,0,0,True,1245.0,Group 70
INC0000060,Closed,Category 9,Subcategory 97,Symptom 450,Medium,Medium,P3,Phone,0,0,True,3208.0,Group 25
INC0000062,Closed,Category 53,Subcategory 168,Symptom 232,High,Medium,P2,Phone,1,0,False,533.0,Group 23
INC0000063,Closed,Category 20,Subcategory 125,Symptom 471,Medium,Medium,P3,Phone,1,0,True,533.0,Group 23
INC0000064,Closed,Category 53,Subcategory 168,Symptom 580,Medium,Medium,P3,Phone,1,0,True,4850.0,Group 28
INC0000065,Closed,Category 45,Subcategory 94,Symptom 311,Medium,Medium,P3,Phone,6,0,True,3343.0,Group 33
INC0000066,Closed,Category 55,Subcategory 185,,Medium,Medium,P3,Phone,1,0,True,3274.0,Group 54
INC0000067,Closed,Category 9,Subcategory 110,Symptom 470,Medium,Medium,P3,Phone,1,0,True,3068.0,Group 28
INC0000070,Closed,Category 9,Subcategory 164,Symptom 592,Medium,Medium,P3,Phone,1,0,False,11624.0,Group 29
INC0000071,Closed,Category 9,Subcategory 164,Symptom 470,Medium,Medium,P3,Phone,0,0,True,1586.0,Group 24
INC0000073,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,1,0,True,1875.0,Group 54
INC0000074,Closed,Category 45,Subcategory 220,,Medium,Medium,P3,Phone,0,0,False,60856.0,Group 66
INC0000076,Closed,Category 42,Subcategory 224,Symptom 470,Medium,Medium,P3,Phone,0,0,True,482.0,Group 23
INC0000077,Closed,Category 32,Subcategory 9,Symptom 470,Medium,Medium,P3,Phone,0,0,True,37.0,Group 70
INC0000079,Closed,Category 55,Subcategory 170,Symptom 470,Medium,Medium,P3,Phone,1,0,True,168.0,Group 65
INC0000080,Closed,Category 32,Subcategory 9,Symptom 4,Medium,Medium,P3,Phone,0,0,True,3067.0,Group 70
INC0000083,Closed,Category 24,Subcategory 164,Symptom 583,Low,Low,P4,Phone,1,0,True,446.0,Group 23
INC0000084,Closed,Category 45,Subcategory 220,Symptom 253,Low,Low,P4,Phone,0,0,False,62287.0,Group 66
INC0000085,Closed,Category 20,Subcategory 125,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3243.0,Group 54
INC0000086,Closed,Category 24,Subcategory 164,Symptom 471,Medium,Medium,P3,Phone,1,0,True,1862.0,Group 23
INC0000087,Closed,Category 53,Subcategory 194,,Medium,Medium,P3,Phone,0,0,True,3239.0,Group 54
INC0000088,Closed,Category 42,Subcategory 224,Symptom 4,Medium,Medium,P3,Phone,0,0,True,17.0,Group 70
INC0000089,Closed,Category 45,Subcategory 94,Symptom 609,Medium,Low,P4,Phone,3,0,True,4664.0,Group 33
INC0000092,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,1,0,False,10070.0,Group 72
INC0000093,Closed,Category 61,Subcategory 164,Symptom 580,Medium,Medium,P3,Phone,0,0,True,,Group 70
INC0000094,Closed,Category 45,Subcategory 220,,Low,Low,P4,Phone,0,0,False,14507.0,Group 66
INC0000098,Closed,Category 53,Subcategory 194,Symptom 471,Medium,Medium,P3,Phone,1,0,True,3229.0,Group 54
INC0000099,Closed,Category 24,Subcategory 164,Symptom 529,Medium,Medium,P3,Phone,1,0,True,1442.0,Group 30
INC0000100,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3228.0,Group 54
INC0000101,Closed,Category 55,Subcategory 170,Symptom 273,Medium,Low,P4,Phone,0,0,True,115.0,Group 65
INC0000102,Closed,Category 37,Subcategory 135,Symptom 87,Medium,Medium,P3,Phone,4,1,False,24922.0,Group 23
INC0000103,Closed,Category 53,Subcategory 194,,Medium,Medium,P3,Phone,0,0,True,3227.0,Group 54
INC0000104,Closed,Category 53,Subcategory 168,Symptom 116,High,Medium,P2,Phone,1,0,False,1607.0,Group 30
INC0000105,Closed,Category 45,Subcategory 223,,Medium,Medium,P3,Phone,1,0,True,168.0,Group 55
INC0000110,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3222.0,Group 54
INC0000111,Closed,Category 53,Subcategory 130,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3222.0,Group 54
INC0000112,Closed,Category 37,Subcategory 135,Symptom 87,Medium,Medium,P3,Phone,2,0,True,3238.0,Group 23
INC0000113,Closed,Category 55,Subcategory 23,,Medium,Medium,P3,Phone,0,0,True,3492.0,Group 25
INC0000114,Closed,Category 53,Subcategory 194,,Medium,Medium,P3,Phone,1,0,True,3840.0,Group 70
INC0000115,Closed,Category 9,Subcategory 164,Symptom 607,Medium,Medium,P3,Phone,2,0,True,1410.0,Group 24
INC0000116,Closed,Category 37,Subcategory 135,Symptom 529,Medium,Medium,P3,Phone,1,0,True,1602.0,Group 47
INC0000119,Closed,Category 9,Subcategory 164,Symptom 471,Medium,Medium,P3,Phone,0,0,True,1421.0,Group 24
INC0000121,Closed,Category 53,Subcategory 271,Symptom 471,Medium,Medium,P3,Phone,0,0,True,426.0,Group 23
INC0000122,Closed,Category 45,Subcategory 107,Symptom 226,Medium,Medium,P3,Phone,1,0,True,1883.0,Group 22
